Field Name,Sample Data
Loan Number (LoanNumber),LN-123456
Obligor Name (ObligorName),John-Doe
Outstanding Balance (OutstandingBalance),500000
Line Reported on FR Y-9C (LineReportedOnFRY9C),3
Committed Exposure Global (CommittedBalance),1000000
Property Type (PropertyType),5
Origination Date (OriginationDate),2024-03-15
Loan Purpose (LoanPurpose),2
Guarantor Flag (GuarantorFlag),1
Guarantor Name (GuarantorName),ABC Corp.
Guarantor TIN (GuarantorTIN),123456789
Current Maturity Date (CurrentMaturityDate),2034-03-15
Outstanding Balance Par Value,450000
Leveraged Loan Flag (LeveragedLoanFlag),2
